m50w,t85w,COG,mean,ang,std,kurt,sm2std,grmn,class
-0.824938926,-0.827612201,-0.896645702,-0.960318852,-0.96664262,-0.859844142,-0.583089613,0.75,-0.333333333,1FS
-0.659675861,-0.706509597,-0.609943057,-0.888518596,-0.967951431,-0.782899995,-0.721986275,0.5,0,2FJ
-0.37359678,-0.432547998,0.417930301,-0.791336405,-0.955856763,-0.745433816,-0.771163165,0.25,0.333333333,4FJ
-0.460282019,-0.498081383,0.663130847,-0.289327183,-0.740962877,0.250225872,-0.917858456,0.75,0,4FJ
-0.480653184,-0.584568877,0.578682916,-0.884864387,-0.976138431,-0.829869164,-0.87884976,0.5,0,2FJ
-0.831898496,-0.901019544,-0.802090209,-0.889209932,-0.933904068,-0.699718698,-0.417361535,0.75,-0.333333333,1FS
-0.878068563,-0.87330344,-0.858792432,-0.565565585,-0.720803172,0.196672366,-0.287202741,0.75,-0.333333333,2FJ
-0.663972777,-0.785969449,-0.523097113,-0.725264367,-0.919670086,-0.48681911,-0.77494408,0.5,-0.333333333,2FJ
-0.045300462,-0.826146398,-0.110632417,0.176139955,-0.901715649,0.044619129,-0.412427258,-0.25,0.333333333,4FJ
-0.357084086,-0.452125013,0.344948849,-0.729906199,-0.955157592,-0.721238337,-0.685883438,0,0.333333333,4FJ
-0.405574691,-0.569996715,-0.054371821,-0.695833175,-0.961938256,-0.740163883,-0.795012272,0,0,4FJ
-0.68960021,-0.55859873,0.703544267,-0.579984893,-0.804310517,-0.17754529,-0.887542272,0.5,0,4FJ
-0.25231556,-0.625547391,0.51232493,-0.921307709,-0.992770609,-0.911882418,-0.813602544,0.25,0,4FJ
-0.901176564,-0.851382257,-0.89795444,-0.897209686,-0.856625979,-0.630476688,0.079911033,0.75,-0.666666667,1FS
-0.904787233,-0.860279563,-0.887672874,-0.736523279,-0.715085544,-0.141296656,0.119534116,0.75,-0.666666667,1FS
-0.170386123,-0.564315078,0.227436417,-0.892567854,-0.99078135,-0.928784285,-0.422126889,0,0,4FJ
-0.616343646,-0.700449331,-0.171630393,-0.952615386,-0.985151409,-0.917962743,-0.807094854,0.75,-0.333333333,1FS
-0.1519192,-0.4612418,0.002997602,-0.654451734,-0.966394071,-0.721180108,-0.776939268,0,0,4FJ
-0.445133315,-0.503837718,-0.141095117,-0.455643046,-0.78012143,0.145386006,-0.734676268,0.5,-0.333333333,2FJ
-0.632845028,-0.749930251,-0.586405073,-0.872716614,-0.969618415,-0.77522049,-0.792460687,0.5,0,2FJ
0.58689621,-0.47214737,0.197185427,0.653656105,-0.913501168,-0.133876612,-0.246099152,-0.75,-0.333333333,4FJ
-0.427364555,-0.474653231,0.258488499,-0.497814586,-0.846033671,-0.169825902,-0.818654449,0.5,0,2FJ
-0.781649843,-0.672231337,0.626449475,-0.859976265,-0.839012009,-0.601186778,-0.395974814,0.75,-0.666666667,1FS
-0.546271427,-0.62858869,0.52463661,-0.771583927,-0.917266534,-0.598565044,-0.762619487,0.75,0,2FJ
-0.456819093,-0.547348493,-0.44827138,-0.278957132,-0.796520131,0.06282592,-0.867064093,0.5,0.333333333,4FJ
-0.536855398,-0.587294304,-0.198485622,-0.845359432,-0.969509448,-0.812734267,-0.811181857,0.25,0,2FJ
-0.580290163,-0.723021622,-0.563310247,-0.668080944,-0.929100863,-0.466245237,-0.848138982,0.5,0,4FJ
-0.789780349,-0.882890529,-0.470180437,-0.865506959,-0.932592605,-0.679027283,-0.48120369,0.75,-0.333333333,1FS
-0.534580791,-0.509748801,0.484525688,-0.287845747,-0.715204608,0.008177169,-0.853874711,0.5,0.333333333,4FJ
-0.469377824,-0.561388401,0.590342679,-0.721807684,-0.93389384,-0.566423831,-0.903015533,0.5,0,4FJ
-0.658170888,-0.744941901,-0.40480427,-0.927826026,-0.972683077,-0.855463915,-0.752790815,0.5,0,1FS
-0.832463486,-0.914263999,-0.781646327,-0.901258944,-0.938063548,-0.725216616,-0.348950377,0.75,-0.333333333,1FS
-0.896448527,-0.837576758,-0.914285714,-0.64477302,-0.489638323,0.183559898,0.044547593,0.75,-0.666666667,1FS
-0.788827354,-0.673041574,0.924763543,-0.923974293,-0.916407466,-0.752274292,-0.564800388,0.5,-0.333333333,1FS
-0.027240508,-0.088948589,-0.243459182,-0.243600197,-0.866028967,-0.202266466,-0.696859394,0,0,4FJ
-0.773347825,-0.837309671,-0.737644585,-0.94491192,-0.965054277,-0.848000897,-0.590831774,0.75,-0.333333333,1FS
-0.528901771,-0.502507765,0.394386605,-0.118665775,-0.604950938,0.456773129,-0.907328608,0.5,0,2FJ
-0.875886328,-0.811131109,-0.940597806,-0.864815622,-0.789137129,-0.521875722,-0.232428141,0.75,-0.666666667,1FS
-0.625625562,-0.677968479,0.144782493,-0.915480728,-0.954229202,-0.821445985,-0.660855952,0.75,-0.333333333,1FS
